coordinates,Country,maps_url,type,info/comments,config type,name
"41.072500, -81.541589",United States,"https://www.google.com/maps/place/41%C2%B004'21.0%22N+81%C2%B032'29.7%22W/@41.0725,-81.5421362,284m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x24a70b75eee0b7ed!7e2!8m2!3d41.0725005!4d-81.5415892",Flock Camera,Vernon Odom/Raymond,Config 2,
"41.066241, -81.538552",United States,"https://www.google.com/maps/place/41%C2%B003'58.5%22N+81%C2%B032'18.8%22W/@41.066241,-81.5390992,19z/data=!4m14!1m7!3m6!1s0x8830d64a8c7516e3:0x95aa3ccb808e074d!2s214+Rhodes+Ave,+Akron,+OH+44302!3b1!8m2!3d41.0881836!4d-81.5388344!3m5!1s0x0:0xfb38fa6685931851!7e2!8m2!3d41.0662406!4d-81.5385516",Flock Camera,Rhodes/Thornton by Reliable Auto,Config 2,
"41.061660, -81.538961",United States,"https://www.google.com/maps/place/41%C2%B003'42.0%22N+81%C2%B032'20.3%22W/@41.0616612,-81.5396117,18z/data=!3m1!4b1!4m6!3m5!1s0x0:0xd8bccf90096fdc81!7e2!8m2!3d41.0616599!4d-81.5389609",Flock Camera,W South St and onramp to I76/I77,Config 1,
"41.060137, -81.540392",United States,"https://www.google.com/maps/place/41%C2%B003'36.5%22N+81%C2%B032'25.4%22W/@41.060139,-81.5414863,18z/data=!3m1!4b1!4m6!3m5!1s0x0:0x7f914e8dcc2b618c!7e2!8m2!3d41.0601375!4d-81.5403916",Flock Camera,Lakeshore near Penn Soccer Field,Config 2,
"41.050378, -81.541057",United States,"https://www.google.com/maps/place/41%C2%B003'01.4%22N+81%C2%B032'27.8%22W/@41.050382,-81.5432457,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x788b610535f41a66!7e2!8m2!3d41.0503777!4d-81.5410566",Flock Camera,Kenmore/Lakeshore,Config 1,
"41.050753, -81.540245",United States,"https://www.google.com/maps/place/41%C2%B003'02.7%22N+81%C2%B032'24.9%22W/@41.0507542,-81.5408957,18z/data=!3m1!4b1!4m6!3m5!1s0x0:0x9b4239eb4d9d7ad6!7e2!8m2!3d41.0507527!4d-81.5402447",Flock Camera,Kenmore/Metro RTA Shipping and receiving,Config 1,
"41.102605, -81.489408",United States,"https://www.google.com/maps/place/41%C2%B006'09.4%22N+81%C2%B029'21.9%22W/@41.102609,-81.4915967,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0xaddbeebb2ce6783!7e2!8m2!3d41.1026048!4d-81.4894077",Flock Camera,"Tallmadge/Home, on Tallmadge",Config 2,
"41.102265, -81.486715",United States,"https://www.google.com/maps/place/41%C2%B006'08.2%22N+81%C2%B029'12.2%22W/@41.1022667,-81.4876352,18z/data=!3m1!4b1!4m6!3m5!1s0x0:0x38cd8b97695ec15b!7e2!8m2!3d41.1022646!4d-81.4867146",Flock Camera,"Tallmadge/Home, on Tallmadge",Config 2,
"41.092282, -81.546214",United States,"https://www.google.com/maps/place/41%C2%B005'32.2%22N+81%C2%B032'46.4%22W/@41.092282,-81.5468663,18z/data=!3m1!4b1!4m6!3m5!1s0x0:0xa8712382f055bb85!7e2!8m2!3d41.0922817!4d-81.5462144",Flock Camera,Delia/Exchange Street,Config 1,
"41.066279, -81.467227",United States,"https://www.google.com/maps/place/41%C2%B003'58.6%22N+81%C2%B028'02.0%22W/@41.066279,-81.4683495,19z/data=!3m1!4b1!4m14!1m7!3m6!1s0x8831290ad9a4bd01:0x6027c9a04d631654!2sBauer+Blvd,+Akron,+OH+44305!3b1!8m2!3d41.0658695!4d-81.4691411!3m5!1s0x0:0xf838f579b2721857!7e2!8m2!3d41.0662792!4d-81.4672275",Flock Camera,Bauer/Brittain,Unknown,
